trader,realized_pnl,unrealized_pnl,net_pnl,tokens_traded
6pRuKFDLdmC9z8vz5DWFWTZcoMCqGcGmXKL1PQMYeeUR,0.0,-2414.5939626302657,-2414.5939626302657,1
8BHE3Lxtys9ccqYUgJk4KDD5e8eST9seDzE7PZp3gJbm,23.12966756473368,-36.21502288969524,-13.085355324961562,1
548rX5DEjRRcYqe83WkfBPVok22ipDnUWeEeDKgZqzXC,-42.679670576431974,-321.42284944860694,-364.1025200250389,3
6ueoeekGRAS3tzhcuUGF7iqFEpRxArnvwdxLihcy5wa,0.0,-1071.7483239172404,-1071.7483239172404,1
AxwkVJjK3mfFzMYdubpiZFXdqxPcu75otTPJecJNW6Tu,0.0,-167.26897754260906,-167.26897754260906,1
8k5FLqLit8ABbu5BxK27TSVBzjFvux72GPechBADWvoh,0.0,-337.9151856165279,-337.9151856165279,1
52Yx4qzuLjWBv86QQ3SXcHUHzpV9R9KKmCUiD8DBNqct,714.4972126309385,-59.5747538387877,654.9224587921508,11
3mCuum1AiuifdjmK69q8NxZ7ipM9e4nALKpNaD6z5jXs,26.06447366814578,-190.62611217552748,-164.5616385073817,1
GbyR6RQqU8Dgm3DM2FHau7TgUGEsAPWU3QMiT2ZDWb38,-800.3905620966398,3601.604375208186,2801.213813111546,1
GmSYPuJAjKTYDQdYkmC4fXtxRKr3v8B7eBPF86fDX3gN,-1559.958863272042,-1444.50198768753,-3004.460850959572,9
5bz3tw2UeU5um6EyzYspmCykrD1SLVS2pwg275oEVEPc,414.60235536177134,39.74148963714805,454.3438449989194,3
4fvTKh3T3cjhNT2TPvMrQceY49KL29uoUn2KiVAiu3oY,3639.3553854556576,-3216.2563936565525,423.0989917991051,19
2CcA9qwnU8rEmrAy2sUNfarHFhCZ5ernqT8oE53XrPr1,-188.22093951276076,0.0,-188.22093951276076,2
D6VWFG9us9cX6y64n3v1NGQ4WAfTppDoizVKGAPzRvpc,64.23140426712206,1071.4762314076488,1135.707635674771,2
1x6mibWgfAmwtT9zA5Rhvd4nm3ZpgC3mXYSY6SNJMne,0.0,-5868.532370881221,-5868.532370881221,2
9zJG78S4xBgNSijsXWPgUqx3hQ4KcnTSKjxFBQxFjaCs,0.0,-25.167254343746492,-25.167254343746492,1
wwzyif2QAZUqqLvjR3AMYizTqLwaVcMu2oNkPLaYsT3,0.0,23.788670174539448,23.788670174539448,1
8tYZzrEP4wPkBbpG7Kdd1Hig3pBKPneDpsxXckq7UA1B,0.0,-14.280358738704876,-14.280358738704876,4
9xHqBH1FtbN1T57u6RSZDn6ykkJzDjNMJe9M1jN7j8NQ,-383.67609930282015,1786.1229966074736,1402.4468973046535,14
GckfhfvpqQmB3Bk9qc7pSQvWuP7ApyrY53uajxuFJAmo,-600.279316381067,-6777.032340196721,-7377.311656577787,27
SaG3BBFJCqEhUVnJ3tynY5QT4oeA7Kq9mDZ3ozM2dMs,0.0,-111.28583886981684,-111.28583886981684,1
BrPA9L6RTj3wYrugkEKeQC128MRCSw7tSmauwc25GMs4,-92.48651044149787,-663.6455963530774,-756.1321067945753,3
HGNByxXnjafvSwds4DYDwQXwiY8Bs8msy7G9FHZd7wZH,101.46107635650066,-498.4383064461316,-396.97723008963095,1
7uA6W1VyPvRQE4ki41MkYy68GiwiYLLSndX8J3XE4RET,-7.031904366952286,-132.45974304259911,-139.4916474095514,1
JCWaBD5qK832ocLMJnovDaoUAGt1vMAA2NBs8wSx1NZ7,0.0,-1322.495826147258,-1322.495826147258,3
3Cc9A7gEwT9yyDsbDz6T47nTSAFmq85MaNz65oT5Mb18,-40.13182707809938,-22.54279822891433,-62.674625307013706,1
6m4DedhFmw9JYM9x9bjSDn41oV2tZnQbRLVUHUGwQKQy,0.0,-479.59107581773554,-479.59107581773554,2
6MkaaeHDCDbSvogqHE4BjebQE745ZW9GK5x6AJ1aA7bM,-252.25959383302413,0.0,-252.25959383302413,1
9TCjHfUS9tQpY3jaC2SQTssGDuv74DPWznVM2hgUtcpD,110.75574813404347,-1364.8540166350274,-1254.098268500984,3
7WwjMD769uxV2pqtvBezPJchidwMQVcEBwUFhgE3Bmqu,0.0,-38.72187120674542,-38.72187120674542,1
4a3MFrx4LGeBECAD2cZ4RbAtMg6qb48dwB9AmZbeKCTb,0.0,-214.82551893636807,-214.82551893636807,1
Aau2pbwnu4m1TfrLpbozaBTqeAN9j5bH1TNhPngNUG8M,-0.24506740324457255,-180.6690981279104,-180.91416553115496,1
2tMUMNxPCFGEdCc2ZMjwMZ1QRjgiAfX6c4MvawcyU3Qg,-436.25555171894024,-242.7950210770599,-679.0505727960001,1
5MeWCiZtbPZDqgK1GarWb1NNcD2TCLZN6uujdkTFqAJZ,-131.12545335788298,-5399.468826634635,-5530.594279992518,14
